"ID","inchikey","sdftitle","order","set","CVfold","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00178831-03","PEJLNXHANOHNSU-UHFFFAOYSA-N","NCGC00178831-03",0,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166114-03","SEACYXSIPDVVMV-UHFFFAOYSA-L","NCGC00166114-03",1,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263563-01","WQGJEAMPBSZCIF-VEKNOCPUSA-N","NCGC00263563-01",2,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00013058-02","CNYGFPPAGUCRIC-UHFFFAOYSA-L","NCGC00013058-02",3,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167516-01","LYCYLGFSIXIXAB-NUZRHMIVSA-N","NCGC00167516-01",4,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00018301-05","BFCDFTHTSVTWOG-UHFFFAOYSA-N","NCGC00018301-05",5,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00249897-01","UEHLXXJAWYWUGI-UHFFFAOYSA-M","NCGC00249897-01",6,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00016000-18","AUZONCFQVSMFAP-UHFFFAOYSA-N","NCGC00016000-18",7,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00181091-01","PBYJDHRFPFHVKZ-UHFFFAOYSA-N","NCGC00181091-01",8,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00094089-01","MTJLQTFHJIHXIX-GDUXWEAWSA-N","NCGC00094089-01",9,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00094996-01","BRJJFBHTDVWTCJ-UHFFFAOYSA-N","NCGC00094996-01",10,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00263579-01","JWEXHQAEWHKGCW-BIISKSHESA-N","NCGC00263579-01",11,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00095016-05","HQVZOORKDNCGCK-UHFFFAOYSA-N","NCGC00095016-05",12,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00095192-05","IKBKZGMPCYNSLU-RGVLZGJSSA-N","NCGC00095192-05",13,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00091258-05","VYWPPRLJNVHPEU-UHFFFAOYSA-N","NCGC00091258-05",14,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00263656-01","LPMXVESGRSUGHW-HBYQJFLCSA-N","NCGC00263656-01",15,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166121-03","CXRFDZFCGOPDTD-UHFFFAOYSA-M","NCGC00166121-03",16,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00257773-01","OJIYIVCMRYCWSE-UHFFFAOYSA-M","NCGC00257773-01",17,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00091023-06","DVBJBNKEBPCGSY-UHFFFAOYSA-M","NCGC00091023-06",18,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00091112-09","ZXJXZNDDNMQXFV-UHFFFAOYSA-M","NCGC00091112-09",19,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167436-02","ZKFQEACEUNWPMT-UHFFFAOYSA-N","NCGC00167436-02",20,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00177980-03","WVNOAGNOIPTWPT-NDUABGMUSA-N","NCGC00177980-03",21,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00179665-04","POZRVZJJTULAOH-LHZXLZLDSA-N","NCGC00179665-04",22,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00344566-01","RRFQFDMDZFLXRY-GTQYJQEFSA-N","NCGC00344566-01",23,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00015959-09","INVGWHRKADIJHF-UHFFFAOYSA-N","NCGC00015959-09",24,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00017112-10","MBRHNTMUYWQHMR-UHFFFAOYSA-N","NCGC00017112-10",25,"training",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015747-09","ZBBHBTPTTSWHBA-UHFFFAOYSA-N","NCGC00015747-09",26,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167493-04","JINNGBXKBDUGQT-UHFFFAOYSA-N","NCGC00167493-04",27,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00273481-01","RSXZRFHNNTTWCB-UHFFFAOYSA-N","NCGC00273481-01",28,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161831-04","WESWYMRNZNDGBX-YLCXCWDSSA-N","NCGC00161831-04",29,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015889-11","BKXVVCILCIUCLG-UHFFFAOYSA-N","NCGC00015889-11",30,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159424-04","REQPQFUJGGOFQL-UHFFFAOYSA-N","NCGC00159424-04",31,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091563-12","KUAZQDVKQLNFPE-UHFFFAOYSA-N","NCGC00091563-12",32,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015273-19","ZPEIMTDSQAKGNT-UHFFFAOYSA-N","NCGC00015273-19",33,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00257649-01","GXDALQBWZGODGZ-UHFFFAOYSA-N","NCGC00257649-01",34,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00262909-01","XDVCLKFLRAWGIT-ADOAZJKMSA-N","NCGC00262909-01",35,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
